subject,run,onset,duration,genre,track,start,end
sub-002,06,315,15,'blues',16,8.35,23.35
sub-002,06,330,15,'pop',24,14.44,29.44
sub-002,06,345,15,'classical',7,8.91,23.91
sub-002,06,360,15,'disco',4,6.47,21.47
sub-002,06,375,15,'metal',22,0.36,15.36
sub-002,06,390,15,'jazz',69,1.97,16.97
sub-002,06,405,15,'hiphop',7,0.06,15.06
sub-002,06,420,15,'country',48,14.72,29.72
sub-002,06,435,15,'rock',75,8.92,23.92
sub-002,06,450,15,'reggae',13,3.6,18.6
sub-002,06,465,15,'blues',16,8.35,23.35
sub-002,06,480,15,'pop',24,14.44,29.44
sub-002,06,495,15,'classical',7,8.91,23.91
sub-002,06,510,15,'disco',4,6.47,21.47
sub-002,06,525,15,'metal',22,0.36,15.36
sub-002,06,540,15,'jazz',69,1.97,16.97
sub-002,06,555,15,'hiphop',7,0.06,15.06
sub-002,06,570,15,'country',48,14.72,29.72
sub-002,06,585,15,'rock',75,8.92,23.92
sub-002,06,600,15,'reggae',13,3.6,18.6
sub-003,01,0,15,'pop',32,10.7,25.7
sub-003,01,15,15,'rock',32,4.48,19.48
sub-003,01,30,15,'country',85,1.07,16.07
sub-003,01,45,15,'blues',17,6.44,21.44
sub-003,01,60,15,'disco',75,11.03,26.03
sub-003,01,75,15,'metal',39,13.11,28.11
sub-003,01,90,15,'reggae',33,12.55,27.55
sub-003,01,105,15,'classical',45,8.35,23.35
sub-003,01,120,15,'hiphop',95,8.59,23.59
sub-003,01,135,15,'jazz',44,9.49,24.49
sub-003,01,150,15,'pop',32,10.7,25.7
sub-003,01,165,15,'rock',32,4.48,19.48
sub-003,01,180,15,'country',85,1.07,16.07
sub-003,01,195,15,'blues',17,6.44,21.44
sub-003,01,210,15,'disco',75,11.03,26.03
sub-003,01,225,15,'metal',39,13.11,28.11
sub-003,01,240,15,'reggae',33,12.55,27.55
sub-003,01,255,15,'classical',45,8.35,23.35
sub-003,01,270,15,'hiphop',95,8.59,23.59
sub-003,01,285,15,'jazz',44,9.49,24.49
sub-003,01,300,15,'pop',32,10.7,25.7
sub-003,01,315,15,'rock',32,4.48,19.48
